"","종목코드","종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE"
"782","008600","윌비스","1,480","15","+1.02%","1,000","969","65,465",2.46,"921,409","-2.69","-30.75"
"783","058850","KTcs","2,265","15","+0.67%","500","967","42,685",7.02,"337,401","10.20","4.72"
"784","004870","티웨이홀딩스","1,260","0","0.00%","500","966","76,681",0.86,"533,456","-1.22","-17.06"
"785","019440","세아특수강","11,250","100","+0.90%","5,000","964","8,570",2.22,"8,157","-26.04","3.47"
"786","007980","태평양물산","1,985","55","+2.85%","500","956","48,150",2.49,"611,827","-5.53","6.99"
"787","006980","우성사료","3,090","10","+0.32%","500","955","30,900",2.4,"297,184","5.58","7.17"
"788","006340","대원전선","1,340","0","0.00%","500","952","71,017",1.51,"1,296,347","-335.00","-1.01"
"789","005360","모나미","5,030","130","-2.52%","1,000","951","18,897",0.69,"379,056","-33.99","-2.39"
"790","283580","KODEX 중국본토CSI300","14,830","335","+2.31%","0","949","6,400",0,"92,102","N/A","N/A"
"791","000650","천일고속","66,300","200","-0.30%","5,000","948","1,429",0.22,"992","-24.33","1.28"
"792","006090","사조오양","10,050","100","-0.99%","5,000","947","9,423",1.37,"110,537","4.64","8.18"
"793","357250","미래에셋맵스리츠","4,710","10","+0.21%","1,000","947","20,100",0.12,"7,141","N/A","N/A"
"794","367760","KBSTAR Fn5G테크","12,210","180","+1.50%","0","946","7,750",0,"196,166","N/A","N/A"
"795","002200","한국수출포장","23,650","300","+1.28%","5,000","946","4,000",4.76,"39,431","7.71","7.51"
"796","016740","두올","3,480","15","-0.43%","2,500","942","27,067",2.23,"566,125","19.23","7.28"
"797","114260","KODEX 국고채3년","58,100","20","-0.03%","0","941","1,620",0.01,"7,137","N/A","N/A"
"798","005750","대림B&Co","5,640","60","+1.08%","1,000","940","16,672",2.18,"48,098","-19.38","1.37"
"799","000300","대유플러스","796","1","+0.13%","500","935","117,503",2.13,"1,549,881","-19.41","11.93"
"800","041650","상신브레이크","4,350","115","+2.72%","500","934","21,471",1.81,"889,009","-19.08","2.40"
